city,state_slug,population
Los Angeles County,ca,10014009
New York City,ny,8804190
Harris,ga,4731145
Harris,tx,4731145
Maricopa County,az,4420568
Los Angeles,ca,3820914
San Diego County,ca,3298634
Orange County,fl,3186989
Orange County,in,3186989
Orange County,ny,3186989
Orange County,nc,3186989
Orange County,tx,3186989
Orange County,vt,3186989
Orange County,va,3186989
Chicago,il,2746388
Brooklyn,ny,2736074
Miami-Dade,fl,2701767
Riverside County,ca,2418185
Queens,ny,2405464
Houston,tx,2314157
King,tx,2269675
King,wa,2269675
Queens County,ny,2252196
San Bernardino County,ca,2181654
Tarrant,tx,2110640
Bexar,tx,2009324
Broward,fl,1944375
Santa Clara County,ca,1936259
Alameda County,ca,1682353
Phoenix,az,1650070
Philadelphia County,pa,1603797
Sacramento County,ca,1585055
Philadelphia,pa,1573916
Suffolk,ma,1525920
Suffolk,ny,1525920
Palm Beach County,fl,1492191
Manhattan,ny,1487536
The Bronx,ny,1472654
San Antonio,pr,1434625
San Antonio,tx,1434625
Nassau County,fl,1395774
Nassau County,ny,1395774
San Diego,ca,1386932
Dallas,tx,1326087
Travis,tx,1290188
Hennepin,mn,1281565
Oakland,mi,1274395
Cuyahoga,oh,1264817
Allegheny,pa,1250578
Salt Lake,ut,1185238
Contra Costa,ca,1165927
Fairfax County,va,1150309
Wake,nc,1129410
Collin,tx,1064465
Pima County,az,1043433
Honolulu County,hi,1016508
San Jose,ca,1013240
San José,pr,1013240
Jacksonville,fl,1009833
Fresno County,ca,1008654
Westchester,ny,1004457
Austin,tx,974447
Pinellas,fl,959107
Gwinnett,ga,957062
Prince George's,md,955306
Milwaukee County,wi,939489
DuPage,il,932877
Pierce County,ga,921130
Pierce County,ne,921130
Pierce County,nd,921130
Pierce County,wa,921130
Pierce County,wi,921130
Fort Worth,tx,918915
Columbus,oh,913175
Charlotte,nc,911311
Kern,ca,909235
Denton County,tx,906422
Indianapolis,in,887642
Macomb,mi,881217
El Paso County,co,865657
El Paso County,tx,865657
Middlesex County,ct,863162
Middlesex County,ma,863162
Middlesex County,nj,863162
Middlesex County,va,863162
Worcester County,md,862111
Worcester County,ma,862111
Montgomery County,al,856553
Montgomery County,ar,856553
Montgomery County,ga,856553
Montgomery County,il,856553
Montgomery County,in,856553
Montgomery County,ia,856553
Montgomery County,ks,856553
Montgomery County,ky,856553
Montgomery County,md,856553
Montgomery County,ms,856553
Montgomery County,mo,856553
Montgomery County,ny,856553
Montgomery County,nc,856553
Montgomery County,oh,856553
Montgomery County,pa,856553
Montgomery County,tn,856553
Montgomery County,tx,856553
Montgomery County,va,856553
Baltimore County,md,854535
Ventura County,ca,843843
Snohomish County,wa,827957
Fort Bend,tx,822779
Multnomah,or,815428
San Francisco,ca,808988
Oklahoma,ok,796292
San Joaquin County,ca,779233
Cobb,ga,766149
San Mateo County,ca,764442
Seattle,wa,737015
Norfolk County,ma,725981
Davidson County,nc,715884
Davidson County,tn,715884
Denver,co,715522
Denver County,co,715522
Will,il,696355
Washington D.C.,dc,689545
Nashville,tn,689447
Oklahoma City,ok,681054
El Paso,tx,678815
Bernalillo County,nm,676444
Tulsa County,ok,669279
Providence County,ri,660741
Utah,ut,659399
