label,city,state_slug,state_abbr,url,population
Alabama,,alabama,AL,/alabama/,
Alaska,,alaska,AK,/alaska/,
Arizona,,arizona,AZ,/arizona/,
Arkansas,,arkansas,AR,/arkansas/,
California,,california,CA,/california/,
Colorado,,colorado,CO,/colorado/,
Connecticut,,connecticut,CT,/connecticut/,
Delaware,,delaware,DE,/delaware/,
Florida,,florida,FL,/florida/,
Georgia,,georgia,GA,/georgia/,
Hawaii,,hawaii,HI,/hawaii/,
Idaho,,idaho,ID,/idaho/,
Illinois,,illinois,IL,/illinois/,
Indiana,,indiana,IN,/indiana/,
Iowa,,iowa,IA,/iowa/,
Kansas,,kansas,KS,/kansas/,
Kentucky,,kentucky,KY,/kentucky/,
Louisiana,,louisiana,LA,/louisiana/,
Maine,,maine,ME,/maine/,
Maryland,,maryland,MD,/maryland/,
Massachusetts,,massachusetts,MA,/massachusetts/,
Michigan,,michigan,MI,/michigan/,
Minnesota,,minnesota,MN,/minnesota/,
"Ada, MN",Ada,minnesota,MN,/minnesota/ada/?tab=insights,1740
"Adrian, MN",Adrian,minnesota,MN,/minnesota/adrian/?tab=insights,1220
"Afton, MN",Afton,minnesota,MN,/minnesota/afton/?tab=insights,2966
"Albany, MN",Albany,minnesota,MN,/minnesota/albany/?tab=insights,2647
"Albert Lea, MN",Albert Lea,minnesota,MN,/minnesota/albert-lea/?tab=insights,18492
"Albertville, MN",Albertville,minnesota,MN,/minnesota/albertville/?tab=insights,7896
"Alexandria, MN",Alexandria,minnesota,MN,/minnesota/alexandria/?tab=insights,11843
"Andover, MN",Andover,minnesota,MN,/minnesota/andover/?tab=insights,32213
"Annandale, MN",Annandale,minnesota,MN,/minnesota/annandale/?tab=insights,3330
"Anoka, MN",Anoka,minnesota,MN,/minnesota/anoka/?tab=insights,17921
"Anoka County, MN",Anoka County,minnesota,MN,/minnesota/anoka-county/?tab=insights,363887
"Apple Valley, MN",Apple Valley,minnesota,MN,/minnesota/apple-valley/?tab=insights,51221
"Appleton, MN",Appleton,minnesota,MN,/minnesota/appleton/?tab=insights,1341
"Arden Hills, MN",Arden Hills,minnesota,MN,/minnesota/arden-hills/?tab=insights,9939
"Arlington, MN",Arlington,minnesota,MN,/minnesota/arlington/?tab=insights,2169
"Arnold, MN",Arnold,minnesota,MN,/minnesota/arnold/?tab=insights,2960
"Atwater, MN",Atwater,minnesota,MN,/minnesota/atwater/?tab=insights,1124
"Aurora, MN",Aurora,minnesota,MN,/minnesota/aurora/?tab=insights,1666
"Austin, MN",Austin,minnesota,MN,/minnesota/austin/?tab=insights,26174
"Avon, MN",Avon,minnesota,MN,/minnesota/avon/?tab=insights,1466
"Babbitt, MN",Babbitt,minnesota,MN,/minnesota/babbitt/?tab=insights,1397
"Bagley, MN",Bagley,minnesota,MN,/minnesota/bagley/?tab=insights,1285
"Barnesville, MN",Barnesville,minnesota,MN,/minnesota/barnesville/?tab=insights,2759
"Baudette, MN",Baudette,minnesota,MN,/minnesota/baudette/?tab=insights,966
"Baxter, MN",Baxter,minnesota,MN,/minnesota/baxter/?tab=insights,8612
